創世記
第一章
 	神創造天地萬物
21	便雅憫的兒子是比拉、比結、亞實別、基拉、拿曼、以希、羅實、慕平、戶平、亞勒。
22	這些是拉潔給雅各生的子孫，一共十四人。
23	但的兒子是戶伸。
24	拿弗他利的兒子是雅薛、古尼、耶西爾、示林。
25	這些是碧賀給雅各生的子孫，一共七人；碧賀是拉班給女兒拉潔的婢女。
26	所有屬於雅各而來到埃及的人之中，他的血脈子孫，不算雅各的兒媳婦，一共六十六人。
27	另外還有約瑟在埃及所生的兒子，共二人。雅各家來到埃及的所有人，一共七十個。
 	約瑟到歌珊迎接父親
28	雅各派猶大走在自己之前，先到約瑟那裡去，請約瑟指示他去歌珊的路。於是他們來到歌珊地。
29	約瑟套好車，上歌珊去迎接他的父親以色列。約瑟迎見他，伏在他的脖子上，在他脖子上哭了很久。
30	以色列對約瑟說：“我見到你的面，你還活著，現在我死也甘心了。”
31	約瑟對兄弟們和父家說：“我要上去告訴法老，對他說：‘我在迦南地的兄弟們和父家，都到我這裡來了。
32	這些人都是牧羊人，向來以牧養牲畜為生。他們的羊群、牛群和擁有的一切，他們都帶來了。’
33	法老召見你們的時候，如果他說：‘你們是做甚麼工作的？’
34	你們就要說：‘僕人們從幼年直到現在，向來都以牧養牲畜為生，我們和我們的祖先都是如此。’這樣你們就可以住在歌珊地，因為埃及人憎惡所有牧羊的人。”
第四十七章
 	約瑟的兄弟們晉見法老
1	約瑟進去告訴法老，說：“我的父親和兄弟們帶著他們的羊群、牛群和擁有的一切，從迦南地來了，現在就在歌珊地。”
2	約瑟從所有兄弟之中選了五個人，帶他們去進見法老。
3	法老對約瑟的兄弟們說：“你們是做哪一行的？”他們對法老說：“你的僕人們是牧羊人，我們和我們的祖先都是。”
4	他們又對法老說：“我們來是想在這地寄居，因為迦南地的饑荒嚴重，沒有草場給你僕人們的羊群。所以，現在求你容許你的僕人們住在歌珊地。”
5	法老對約瑟說：“你的父親和兄弟們到你這裡來了；
6	埃及地都在你面前，你要讓你的父親和兄弟們住在國家裡最好的地方，他們可以住在歌珊地。你如果知道他們中間有能幹的人，可以派他們作主管打理我的牲畜。”
 	雅各晉見法老
7	約瑟把父親雅各帶到法老面前，雅各就給法老祝福。
8	法老對雅各說：“你多大年紀了？”
9	雅各對法老說：“我寄居在世的年日是一百三十年。我一生的年日又少又苦，不及我列祖人生的年日、寄居在世的日子。”
10	雅各再次給法老祝福，然後離開法老出去了。
11	約瑟安置了父親和兄弟們，在埃及地給他們產業，在國內最好的地方，就是蘭塞地；這是照法老吩咐的。
12	約瑟照著他們小孩子的人數，為父親、兄弟們，以及整個父家供應糧食。
 	嚴重的饑荒
13	那時遍地都沒有糧食，因為饑荒非常嚴重。因為饑荒，埃及地和迦南地奄奄一息。
14	約瑟收集到埃及地和迦南地眾人買糧的所有銀子，就把這些銀子交到法老的王宮。
15	埃及地和迦南地的銀子都用盡了，埃及眾人就來見約瑟，說：“求你給我們糧食吧！我們為甚麼要死在你面前呢？銀子已經用完了。”
16	約瑟說：“如果銀子用完了，就把你們的牲畜給我吧，我就給你們糧食，換你們的牲畜。”
17	於是，他們把牲畜帶給約瑟，約瑟就給他們糧食，換馬匹、羊群、牛群、驢。那一年，約瑟就用糧食換了他們所有牲畜，養活他們。
18	那一年過後，第二年他們又來見約瑟，對他說：“不瞞我主說，我們的銀子用盡了，牲畜也歸了我主；在我主面前，除了我們的身體和田地以外，甚麼都不剩了。
19	我們為甚麼要死在你眼前呢，要我們和我們的田地都滅亡嗎？求你用糧食買我們和我們的田地，我們就做法老的奴隸，田地也屬於法老；也求你給我們種子，讓我們可以活下去，不至於死，田地也不至於荒蕪。”
20	於是，約瑟為法老買了埃及所有田地，因為埃及人為嚴重的饑荒所迫，人人都賣自己的田地。故此，那片土地就都歸法老所有。
21	境內的人民，從埃及的一端到另一端，約瑟都使他們作了奴隸。
22	只有祭司們的田地，約瑟沒有買，這是因為祭司有法老配給的俸糧，他們可以吃法老配給的俸糧，所以沒有賣自己的田地。
23	約瑟對人民說：“聽著，我今天為法老買了你們和你們的田地。這裡有種子給你們，你們在田地播種吧。
24	到了有出產的時候，你們要把五分之一給法老，其餘四份歸你們自己，用來播種，也作你們以及你們家人和小孩的食物。”
25	他們說：“你救了我們的生命！願我們在我主眼前蒙恩，我們情願做法老的奴隸。”
26	於是，約瑟為埃及的田地立了一條規定，有效至今，就是五分之一歸給法老；只有祭司的田地不歸給法老。
 	雅各對約瑟最後的要求
27	以色列人住在埃及地的歌珊地，他們在那裡有產業，繁衍起來，人數大大增多。
28	雅各在埃及地活了十七年；雅各一生的年日是一百四十七歲。
29	以色列的死期已近，就把兒子約瑟叫來，對他說：“如果我在你眼前蒙恩，請你把手放在我的大腿底下起誓，要以忠誠之愛和信實對待我，不要把我葬在埃及！
30	我與列祖同眠的時候，你要把我從埃及帶出去，葬在他們的墓地裡。”約瑟說：“我一定會照你的話去做。”
31	雅各說：“你要向我起誓。”約瑟就向他起誓。然後，以色列倚著杖頭下拜。
第四十八章
 	雅各使以法蓮和瑪拿西歸其名下
1	這些事以後，有人對約瑟說：“你知道嗎，你的父親病了。”約瑟就帶著兩個兒子瑪拿西和以法蓮一同去。
2	有人告訴雅各，說：“你知道嗎，你的兒子約瑟來你這裡了。”以色列就拼力在床上坐起來。
3	雅各對約瑟說：“全能的神曾經在迦南地的路斯向我顯現，賜福給我，
4	對我說：‘聽著，我要使你繁衍、增多，使你成為一個包含多個民族的群體；我要把這片土地賜給你未來的後裔，作為永遠的產業。’
5	現在，你的兩個兒子，就是我還沒有來埃及見你之前你在埃及地所生的，他們都是我的；以法蓮和瑪拿西是我的，正如呂便和西緬是我的一樣。
6	“你在他們以後所生的兒子，就屬於你，在繼承產業的事上，他們歸在兩個哥哥的名下。
7	因為我——我從巴旦回來的時候，拉潔死了，我很悲傷；那是在往迦南地的路上，離以法他還有一段路。我就把她葬在那裡，在通往以法他的路旁。”以法他就是伯利恆。
 	雅各祝福約瑟、以法蓮和瑪拿西
8	以色列看見約瑟的兒子，就說：“他們是誰？”
9	約瑟對父親說：“他們是我的兒子，是神在這裡賜給我的。”以色列說：“領他們到我這裡來，我要給他們祝福。”
10	以色列因為年老，視力模糊，看不清楚。約瑟就領他們到他跟前，他就親吻他們，擁抱他們。
11	以色列對約瑟說：“我沒想到還能再見你的面，現在神竟然讓我也見到你的後裔！”
12	約瑟把他們從以色列膝旁拉開，自己臉伏於地下拜。
13	然後約瑟要他們兩個這樣站：以法蓮在約瑟右邊，對著以色列的左邊，瑪拿西在約瑟左邊，對著以色列的右邊；然後領他們到以色列跟前。
14	但是，以色列伸出右手，按在以法蓮頭上——這個是次子，左手按在瑪拿西頭上；這樣，他交叉了雙手，儘管瑪拿西是長子。
15	他祝福約瑟，說：“願神——我祖亞伯拉罕和以撒行在他面前的神，就是一生牧養我直到今日的神，
16	救贖我脫離一切惡事的使者，賜福給這些年輕人！願我的名以及我祖亞伯拉罕和以撒的名，藉著他們傳揚；願他們在地上生養眾多！”
17	約瑟見父親把右手按在以法蓮頭上，就覺得不妥，於是抓住父親的手，要從以法蓮的頭上移到瑪拿西的頭上。
18	約瑟對父親說：“父親啊，不是這樣，這個才是長子，把右手按在他的頭上吧！”
19	他父親卻不肯，說：“我知道，我兒啊，我知道！他也會成為一族，也會強大；然而他弟弟將會比他強大，他弟弟的後裔將會成為眾多國家。”
20	那一天，以色列給他們祝福，說：“願以色列人祝福人的時候用你們的名字，說‘願神使你像以法蓮和瑪拿西！’”於是，以色列把以法蓮立在瑪拿西之前。
21	然後以色列對約瑟說：“聽著，我快要死了，但是神會與你們同在，領你們回到你們祖先的土地。
22	我給你一片山坡地，多於給你兄弟們的地；那是從前我用刀用弓從亞摩利人手中奪來的。”
第四十九章
 	雅各對兒子們的臨終之言
1	雅各把兒子們召來，說：“你們聚攏過來，我把你們日後將要遇到的事告訴你們。
2	雅各的兒子啊，要聚集聆聽；聆聽你們父親以色列的話。
3	呂便，你是我的長子，是我的力量，我強壯時頭生的，尊榮居首，權力居首；
4	但你放縱如水，不可再居首位，因為你上了父親的床，玷污了我的榻——呂便上了我的榻！
5	西緬和利未是兄弟；他們的刀是殘暴的武器。
6	我立意不與他們同謀，我決心不與他們共聚，因為他們憤怒時就殺人，任性時就砍斷牛腿筋。
7	必受詛咒啊，如此暴烈的憤怒，如此兇猛的烈怒！我要把他們分散在雅各中，使他們散居在以色列裡。
8	猶大，你的兄弟們要讚美你，正是你；你的手揪住眾仇敵的頸背；你父親的眾子要向你下拜。
9	猶大是小獅子；我兒，你靠吃獵物長大了。猶大蹲伏躺臥，如同公獅，又像母獅，誰會惹他起來？
10	權杖不離猶大，王杖也不離他兩腳間；擁有王杖的那位來臨時，萬民都會順服他。
11	猶大把少壯公驢拴在葡萄樹旁，把母驢所生的驢兒繫在優質葡萄樹旁；他在葡萄酒中洗衣服，在葡萄血裡洗衣袍。
12	眼睛因酒而紅，牙齒因奶而白。
13	西布倫會住在海邊，他將成為船隻的港口，疆界延伸到西頓。
14	以薩迦是骨骼強壯的驢，伏臥在兩個羊圈之間；
15	他看見美好的安居之處，可喜的土地，就低下肩頭負重，成了服勞役的奴隸。
16	但將為他的人民主持公道，如以色列各支派之一。
17	但會做路邊的蛇，道旁的毒蛇，咬傷馬蹄，使騎手向後墜落。
18	耶和華啊，我等候你的拯救！
19	迦得，襲擊者要襲擊他，他卻要襲擊他們的腳跟。
20	亞設的糧食豐饒，供應美食給君王的是他。
21	拿弗他利是自由奔放的母鹿，他發出優美的言語。
22	約瑟是野驢之子，在水泉旁的野驢之子，書珥附近的野驢。
23	弓箭手苦害他，向他射箭，對他懷恨，
24	但他的弓依然堅硬，他的臂仍舊敏捷，因為雅各那位大能者的手，因為有牧人，以色列的石山，
25	因為你父親的神——他要幫助你！因為那位全能者——他要賜福給你！從上面天空降下之福和下面深淵蘊藏之福，還有哺乳和生育之福。
26	你父親的祝福，勝過我父母的祝福，以至包羅永恆山嶺的珍物！願這些福澤留在約瑟頭上，留在兄弟裡分別出來的這位頭頂！
27	便雅憫是撕咬的狼，早晨吞吃獵物，晚上瓜分掠奪之物。”
28	這些就是以色列的支派，共十二個。這是父親對他們說的話；他祝福他們，按著各人要得的福一一祝福他們。
 	雅各的遺囑及其逝世
29	然後雅各吩咐他們，對他們說：“我快要歸到先人那裡了。你們要把我葬在我的祖先旁邊，就是在赫特人以弗崙那塊田的洞裡。
30	那個洞在幔利附近麥比拉田間，在迦南地，亞伯拉罕從赫特人以弗崙買下那塊田，成為用作墳墓的產業。
31	那裡葬著亞伯拉罕和他的妻子莎拉，葬著以撒和他的妻子利百加，我也把莉亞葬在那裡。
32	那塊田和其中那個洞，是從赫特人買來的。”
33	雅各吩咐完兒子們，就把雙腳收回去放到床上，壽終而死，歸到先人那裡。
第五十章
 	雅各死後之哀榮
1	約瑟撲到父親臉上，抱著他哭，親吻他。
2	約瑟吩咐他手下的醫生，用香料保存父親。醫生們就用香料保存以色列。
3	這件事用了四十天，因為用香料保存屍體需要這樣的時間。埃及人為他哀哭了七十天。
4	為他哀哭的日子過了，約瑟就對法老家裡的人說：“如果我在你們眼前蒙恩，就請你們轉告法老說：
5	‘我父親曾經叫我起誓，說：“聽著，我快要死了；你要把我葬在迦南地，在我為自己掘的墳墓裡。”現在求你讓我上去安葬父親，然後我就回來。’”
6	法老說：“照著他叫你起的誓，上去安葬你父親吧！”
7	於是，約瑟上去安葬父親。和他一起上去的，有法老所有的僕人和法老家中的長老、埃及地所有的長老，
8	以及約瑟全家，他的兄弟們和他的父家；他們只把小孩和羊群牛群留在歌珊地。
9	和他一起上去的，還有戰車和戰車兵，陣容浩大。
10	他們到了約旦河對岸的刺棗樹碾禾場，就在那裡非常沉痛地大大哀哭。約瑟為父親舉哀七天。
11	住在那個地方的迦南人看見刺棗樹碾禾場的哀哭，就說：“這是埃及人一場沉痛的哀哭。”因此，約旦河對岸那個地方的名字叫埃及哭。
12	雅各的兒子們遵照父親吩咐他們的去做，
13	兒子們把他移送迦南地，葬在幔利附近麥比拉田間的洞裡，那塊田是亞伯拉罕買的，用作墳墓的產業，是從赫特人以弗崙買的。
14	約瑟安葬父親以後，就和兄弟們，以及所有和他一起上來安葬他父親的人都回埃及去。
 	約瑟安慰兄弟們
15	約瑟的哥哥們看見父親死了，就說：“也許約瑟仍然對我們懷恨，會嚴厲報復我們從前向他做的一切惡事。”
16	他們就傳話給約瑟，說：“你父親死前曾經吩咐說：
17	‘你們要對約瑟這樣說：“從前你的哥哥們惡待你，求求你饒恕他們的過犯和罪惡！”’現在求你饒恕你父親之神的僕人們的過犯！”約瑟聽見這話就哭了。
18	他的哥哥們也來了，俯伏在他面前，說：“請聽，我們是你的奴僕！”
19	約瑟對他們說：“你們不要害怕，難道我代替神了嗎？
20	你們從前存心害我，神卻存心讓這事成為美好，就是要成就今日的光景，使許多人可以存活。
21	因此你們不要害怕，我會照顧你們和你們的小孩。”於是約瑟安慰他們，說話安定他們的心。
 	約瑟逝世
22	約瑟和他的父家都住在埃及。約瑟活了一百一十歲。
23	約瑟見到以法蓮的孫子們，還有瑪拿西之子瑪吉的兒子們；瑪吉的兒子們生下來就歸到約瑟膝下。
24	約瑟對他的兄弟說：“我快要死了，但是神必定眷顧你們，領你們從這地上去，到他起誓要賜給亞伯拉罕、以撒、雅各的那片土地。”
25	約瑟叫以色列的子孫起誓，說：“神必定眷顧你們，到時候你們要把我的骸骨從這裡帶上去。”
26	約瑟死了，享壽一百一十歲。人們用香料保存他，放在棺材裡，在埃及。
